Id Sensore,Data-Ora, Medio	temp	Id Sensore,Data-Ora, Medio	irr
5901,2018/04/01 11:50,17.9	17.9	6453,2018/04/01 11:50,800.1	800.1
5901,2018/04/01 12:00,17.8	17.8	6453,2018/04/01 12:00,813.5	813.5
5901,2018/04/01 12:10,18.0	18.0	6453,2018/04/01 12:10,801.9	801.9
5901,2018/04/01 12:20,17.7	17.7	6453,2018/04/01 12:20,814.1	814.1
5901,2018/04/01 12:30,18.3	18.3	6453,2018/04/01 12:30,808.8	808.8
5901,2018/04/01 12:40,18.3	18.3	6453,2018/04/01 12:40,806.6	806.6
5901,2018/04/01 12:50,18.1	18.1	6453,2018/04/01 12:50,798.3	798.3
5901,2018/04/01 13:00,18.1	18.1	6453,2018/04/01 13:00,789.1	789.1
5901,2018/04/01 13:10,18.1	18.1	6453,2018/04/01 13:10,786.5	786.5
5901,2018/04/01 13:20,18.2	18.2	6453,2018/04/01 13:20,781.0	781.0
5901,2018/04/01 13:30,18.2	18.2	6453,2018/04/01 13:30,769.1	769.1
5901,2018/04/01 13:40,18.4	18.4	6453,2018/04/01 13:40,760.6	760.6
5901,2018/04/01 13:50,18.6	18.6	6453,2018/04/01 13:50,761.2	761.2
5901,2018/04/01 14:00,18.4	18.4	6453,2018/04/01 14:00,684.0	684.0
5901,2018/04/01 14:10,18.3	18.3	6453,2018/04/01 14:10,607.5	607.5
5901,2018/04/01 14:20,17.6	17.6	6453,2018/04/01 14:20,496.2	496.2
5901,2018/04/01 14:30,18.6	18.6	6453,2018/04/01 14:30,586.7	586.7
5901,2018/04/01 14:40,18.4	18.4	6453,2018/04/01 14:40,680.2	680.2
5901,2018/04/01 14:50,19.2	19.2	6453,2018/04/01 14:50,660.4	660.4
5901,2018/04/01 15:00,19.2	19.2	6453,2018/04/01 15:00,638.0	638.0
5901,2018/04/01 15:10,19.0	19.0	6453,2018/04/01 15:10,599.9	599.9
5901,2018/04/01 15:20,18.9	18.9	6453,2018/04/01 15:20,581.3	581.3
5901,2018/04/01 15:30,18.9	18.9	6453,2018/04/01 15:30,524.9	524.9
5901,2018/04/01 15:40,18.7	18.7	6453,2018/04/01 15:40,530.2	530.2
5901,2018/04/01 15:50,18.5	18.5	6453,2018/04/01 15:50,495.1	495.1
5901,2018/04/01 16:00,18.5	18.5	6453,2018/04/01 16:00,445.8	445.8
5901,2018/04/01 16:10,19.0	19.0	6453,2018/04/01 16:10,430.8	430.8
5901,2018/04/01 16:20,18.9	18.9	6453,2018/04/01 16:20,405.8	405.8
5901,2018/04/01 16:30,18.2	18.2	6453,2018/04/01 16:30,377.0	377.0
5901,2018/04/01 16:40,18.1	18.1	6453,2018/04/01 16:40,347.1	347.1
5901,2018/04/01 16:50,17.8	17.8	6453,2018/04/01 16:50,148.5	148.5
5901,2018/04/01 17:00,17.7	17.7	6453,2018/04/01 17:00,64.2	64.2
5901,2018/04/01 17:10,17.4	17.4	6453,2018/04/01 17:10,77.0	77.0
5901,2018/04/01 17:20,17.0	17.0	6453,2018/04/01 17:20,87.3	87.3
5901,2018/04/01 17:30,16.9	16.9	6453,2018/04/01 17:30,34.8	34.8
5901,2018/04/01 17:40,16.7	16.7	6453,2018/04/01 17:40,28.0	28.0
5901,2018/04/01 17:50,16.5	16.5	6453,2018/04/01 17:50,20.4	20.4
5901,2018/04/01 18:00,16.3	16.3	6453,2018/04/01 18:00,17.8	17.8
5901,2018/04/01 18:10,16.1	16.1	6453,2018/04/01 18:10,14.8	14.8
5901,2018/04/01 18:20,15.8	15.8	6453,2018/04/01 18:20,11.6	11.6
5901,2018/04/01 18:30,15.3	15.3	6453,2018/04/01 18:30,7.8	7.8
5901,2018/04/01 18:40,15.1	15.1	6453,2018/04/01 18:40,3.9	3.9
5901,2018/04/01 18:50,14.6	14.6	6453,2018/04/01 18:50,0.3	0.3
5901,2018/04/01 19:00,14.3	14.3	6453,2018/04/01 19:00,0.0	0.0
5901,2018/04/01 19:10,13.8	13.8	6453,2018/04/01 19:10,0.0	0.0
5901,2018/04/01 19:20,13.5	13.5	6453,2018/04/01 19:20,0.0	0.0
5901,2018/04/01 19:30,12.6	12.6	6453,2018/04/01 19:30,0.0	0.0
5901,2018/04/01 19:40,12.0	12.0	6453,2018/04/01 19:40,0.0	0.0
5901,2018/04/01 19:50,12.1	12.1	6453,2018/04/01 19:50,0.0	0.0
5901,2018/04/01 20:00,12.9	12.9	6453,2018/04/01 20:00,0.0	0.0
5901,2018/04/01 20:10,12.9	12.9	6453,2018/04/01 20:10,0.0	0.0
5901,2018/04/01 20:20,12.4	12.4	6453,2018/04/01 20:20,0.0	0.0
5901,2018/04/01 20:30,12.1	12.1	6453,2018/04/01 20:30,0.0	0.0
5901,2018/04/01 20:40,12.0	12.0	6453,2018/04/01 20:40,0.0	0.0
5901,2018/04/01 20:50,12.0	12.0	6453,2018/04/01 20:50,0.0	0.0
5901,2018/04/01 21:00,11.9	11.9	6453,2018/04/01 21:00,0.0	0.0
5901,2018/04/01 21:10,11.8	11.8	6453,2018/04/01 21:10,0.0	0.0
5901,2018/04/01 21:20,11.6	11.6	6453,2018/04/01 21:20,0.0	0.0
5901,2018/04/01 21:30,12.0	12.0	6453,2018/04/01 21:30,0.0	0.0
5901,2018/04/01 21:40,12.0	12.0	6453,2018/04/01 21:40,0.0	0.0
5901,2018/04/01 21:50,12.0	12.0	6453,2018/04/01 21:50,0.0	0.0
5901,2018/04/01 22:00,11.9	11.9	6453,2018/04/01 22:00,0.0	0.0
5901,2018/04/01 22:10,11.7	11.7	6453,2018/04/01 22:10,0.0	0.0
5901,2018/04/01 22:20,11.7	11.7	6453,2018/04/01 22:20,0.0	0.0
5901,2018/04/01 22:30,11.1	11.1	6453,2018/04/01 22:30,0.0	0.0
5901,2018/04/01 22:40,11.2	11.2	6453,2018/04/01 22:40,0.0	0.0
5901,2018/04/01 22:50,10.4	10.4	6453,2018/04/01 22:50,0.0	0.0
5901,2018/04/01 23:00,10.7	10.7	6453,2018/04/01 23:00,0.0	0.0
5901,2018/04/01 23:10,10.6	10.6	6453,2018/04/01 23:10,0.0	0.0
5901,2018/04/01 23:20,10.4	10.4	6453,2018/04/01 23:20,0.0	0.0
5901,2018/04/01 23:30,9.9	9.9	6453,2018/04/01 23:30,0.0	0.0
5901,2018/04/01 23:40,9.4	9.4	6453,2018/04/01 23:40,0.0	0.0
5901,2018/04/01 23:50,9.7	9.7	6453,2018/04/01 23:50,0.0	0.0
