"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]","Currency","BZN|DE-LU"
"31.03.2023 00:00 - 31.03.2023 00:15","98.95","EUR"
"31.03.2023 00:15 - 31.03.2023 00:30","58.09","EUR"
"31.03.2023 00:30 - 31.03.2023 00:45","49.07","EUR"
"31.03.2023 00:45 - 31.03.2023 01:00","41.06","EUR"
"31.03.2023 01:00 - 31.03.2023 01:15","82.91","EUR"
"31.03.2023 01:15 - 31.03.2023 01:30","55.60","EUR"
"31.03.2023 01:30 - 31.03.2023 01:45","47.09","EUR"
"31.03.2023 01:45 - 31.03.2023 02:00","44.07","EUR"
"31.03.2023 02:00 - 31.03.2023 02:15","70.04","EUR"
"31.03.2023 02:15 - 31.03.2023 02:30","47.08","EUR"
"31.03.2023 02:30 - 31.03.2023 02:45","56.19","EUR"
"31.03.2023 02:45 - 31.03.2023 03:00","64.69","EUR"
"31.03.2023 03:00 - 31.03.2023 03:15","50.60","EUR"
"31.03.2023 03:15 - 31.03.2023 03:30","44.09","EUR"
"31.03.2023 03:30 - 31.03.2023 03:45","56.09","EUR"
"31.03.2023 03:45 - 31.03.2023 04:00","92.03","EUR"
"31.03.2023 04:00 - 31.03.2023 04:15","30.08","EUR"
"31.03.2023 04:15 - 31.03.2023 04:30","48.07","EUR"
"31.03.2023 04:30 - 31.03.2023 04:45","73.17","EUR"
"31.03.2023 04:45 - 31.03.2023 05:00","113.41","EUR"
"31.03.2023 05:00 - 31.03.2023 05:15","9.57","EUR"
"31.03.2023 05:15 - 31.03.2023 05:30","33.39","EUR"
"31.03.2023 05:30 - 31.03.2023 05:45","98.93","EUR"
"31.03.2023 05:45 - 31.03.2023 06:00","158.12","EUR"
"31.03.2023 06:00 - 31.03.2023 06:15","57.02","EUR"
"31.03.2023 06:15 - 31.03.2023 06:30","81.10","EUR"
"31.03.2023 06:30 - 31.03.2023 06:45","128.37","EUR"
"31.03.2023 06:45 - 31.03.2023 07:00","159.92","EUR"
"31.03.2023 07:00 - 31.03.2023 07:15","92.10","EUR"
"31.03.2023 07:15 - 31.03.2023 07:30","129.66","EUR"
"31.03.2023 07:30 - 31.03.2023 07:45","144.91","EUR"
"31.03.2023 07:45 - 31.03.2023 08:00","154.93","EUR"
"31.03.2023 08:00 - 31.03.2023 08:15","113.44","EUR"
"31.03.2023 08:15 - 31.03.2023 08:30","145.92","EUR"
"31.03.2023 08:30 - 31.03.2023 08:45","145.91","EUR"
"31.03.2023 08:45 - 31.03.2023 09:00","144.90","EUR"
"31.03.2023 09:00 - 31.03.2023 09:15","116.08","EUR"
"31.03.2023 09:15 - 31.03.2023 09:30","112.09","EUR"
"31.03.2023 09:30 - 31.03.2023 09:45","115.01","EUR"
"31.03.2023 09:45 - 31.03.2023 10:00","132.91","EUR"
"31.03.2023 10:00 - 31.03.2023 10:15","111.08","EUR"
"31.03.2023 10:15 - 31.03.2023 10:30","119.80","EUR"
"31.03.2023 10:30 - 31.03.2023 10:45","104.12","EUR"
"31.03.2023 10:45 - 31.03.2023 11:00","92.08","EUR"
"31.03.2023 11:00 - 31.03.2023 11:15","128.50","EUR"
"31.03.2023 11:15 - 31.03.2023 11:30","101.07","EUR"
"31.03.2023 11:30 - 31.03.2023 11:45","98.54","EUR"
"31.03.2023 11:45 - 31.03.2023 12:00","86.09","EUR"
"31.03.2023 12:00 - 31.03.2023 12:15","133.17","EUR"
"31.03.2023 12:15 - 31.03.2023 12:30","108.30","EUR"
"31.03.2023 12:30 - 31.03.2023 12:45","91.80","EUR"
"31.03.2023 12:45 - 31.03.2023 13:00","73.06","EUR"
"31.03.2023 13:00 - 31.03.2023 13:15","121.38","EUR"
"31.03.2023 13:15 - 31.03.2023 13:30","122.93","EUR"
"31.03.2023 13:30 - 31.03.2023 13:45","79.04","EUR"
"31.03.2023 13:45 - 31.03.2023 14:00","37.70","EUR"
"31.03.2023 14:00 - 31.03.2023 14:15","96.04","EUR"
"31.03.2023 14:15 - 31.03.2023 14:30","85.09","EUR"
"31.03.2023 14:30 - 31.03.2023 14:45","88.64","EUR"
"31.03.2023 14:45 - 31.03.2023 15:00","73.03","EUR"
"31.03.2023 15:00 - 31.03.2023 15:15","85.00","EUR"
"31.03.2023 15:15 - 31.03.2023 15:30","51.99","EUR"
"31.03.2023 15:30 - 31.03.2023 15:45","111.90","EUR"
"31.03.2023 15:45 - 31.03.2023 16:00","93.21","EUR"
"31.03.2023 16:00 - 31.03.2023 16:15","82.08","EUR"
"31.03.2023 16:15 - 31.03.2023 16:30","90.00","EUR"
"31.03.2023 16:30 - 31.03.2023 16:45","85.08","EUR"
"31.03.2023 16:45 - 31.03.2023 17:00","103.23","EUR"
"31.03.2023 17:00 - 31.03.2023 17:15","85.08","EUR"
"31.03.2023 17:15 - 31.03.2023 17:30","94.10","EUR"
"31.03.2023 17:30 - 31.03.2023 17:45","115.91","EUR"
"31.03.2023 17:45 - 31.03.2023 18:00","105.56","EUR"
"31.03.2023 18:00 - 31.03.2023 18:15","88.07","EUR"
"31.03.2023 18:15 - 31.03.2023 18:30","107.90","EUR"
"31.03.2023 18:30 - 31.03.2023 18:45","112.10","EUR"
"31.03.2023 18:45 - 31.03.2023 19:00","138.93","EUR"
"31.03.2023 19:00 - 31.03.2023 19:15","123.40","EUR"
"31.03.2023 19:15 - 31.03.2023 19:30","123.91","EUR"
"31.03.2023 19:30 - 31.03.2023 19:45","128.81","EUR"
"31.03.2023 19:45 - 31.03.2023 20:00","109.08","EUR"
"31.03.2023 20:00 - 31.03.2023 20:15","169.93","EUR"
"31.03.2023 20:15 - 31.03.2023 20:30","103.19","EUR"
"31.03.2023 20:30 - 31.03.2023 20:45","90.03","EUR"
"31.03.2023 20:45 - 31.03.2023 21:00","81.04","EUR"
"31.03.2023 21:00 - 31.03.2023 21:15","137.96","EUR"
"31.03.2023 21:15 - 31.03.2023 21:30","112.20","EUR"
"31.03.2023 21:30 - 31.03.2023 21:45","81.20","EUR"
"31.03.2023 21:45 - 31.03.2023 22:00","60.04","EUR"
"31.03.2023 22:00 - 31.03.2023 22:15","133.97","EUR"
"31.03.2023 22:15 - 31.03.2023 22:30","112.87","EUR"
"31.03.2023 22:30 - 31.03.2023 22:45","69.40","EUR"
"31.03.2023 22:45 - 31.03.2023 23:00","51.03","EUR"
"31.03.2023 23:00 - 31.03.2023 23:15","118.95","EUR"
"31.03.2023 23:15 - 31.03.2023 23:30","102.91","EUR"
"31.03.2023 23:30 - 31.03.2023 23:45","74.56","EUR"
